UF,Código do Município,Município,Dezembro/2023 - sem ajuste Admissões,Dezembro/2023 - sem ajuste Desligamentos,Dezembro/2023 - sem ajuste Saldos,Dezembro/2023 - sem ajuste Variação Relativa (%),Acumulado do Ano (2023) Admissões,Acumulado do Ano (2023) Desligamentos,Acumulado do Ano (2023) Saldos,Acumulado do Ano (2023) Variação Relativa (%)
RS,431535.0,Rs-Quinze de Novembro,14.0,36.0,-22.0,-3.3639143730886847,319.0,307.0,12.0,1.929260450160772
RS,431540.0,Rs-Redentora,12.0,18.0,-6.0,-1.9801980198019802,147.0,131.0,16.0,5.555555555555555
RS,431545.0,Rs-Relvado,1.0,2.0,-1.0,-0.6134969325153374,46.0,50.0,-4.0,-2.4096385542168677
RS,431550.0,Rs-Restinga Seca,99.0,61.0,38.0,1.515755883526127,1194.0,1053.0,141.0,5.797697368421053
RS,431555.0,Rs-Rio dos Indios,2.0,0.0,2.0,2.5316455696202533,48.0,53.0,-5.0,-5.681818181818182
RS,431560.0,Rs-Rio Grande,1442.0,1486.0,-44.0,-0.1135571786202803,19095.0,17654.0,1441.0,3.8458458992767355
RS,431570.0,Rs-Rio Pardo,173.0,149.0,24.0,0.4763795156808257,2112.0,2323.0,-211.0,-4.049126847054308
RS,431575.0,Rs-Riozinho,17.0,31.0,-14.0,-1.0630220197418374,516.0,511.0,5.0,0.38699690402476783
RS,431580.0,Rs-Roca Sales,43.0,137.0,-94.0,-3.0137864700224433,1801.0,1920.0,-119.0,-3.810438680755684
RS,431590.0,Rs-Rodeio Bonito,42.0,43.0,-1.0,-0.07757951900698215,554.0,459.0,95.0,7.774140752864158
RS,431595.0,Rs-Rolador,2.0,3.0,-1.0,-0.6451612903225806,56.0,47.0,9.0,6.206896551724138
RS,431600.0,Rs-Rolante,103.0,281.0,-178.0,-2.430034129692833,3906.0,4028.0,-122.0,-1.697981906750174
RS,431610.0,Rs-Ronda Alta,30.0,43.0,-13.0,-1.005413766434648,612.0,590.0,22.0,1.7446471054718478
RS,431620.0,Rs-Rondinha,10.0,9.0,1.0,0.24752475247524752,138.0,121.0,17.0,4.381443298969072
RS,431630.0,Rs-Roque Gonzales,11.0,19.0,-8.0,-1.4109347442680775,232.0,218.0,14.0,2.5547445255474455
RS,431640.0,Rs-Rosario do Sul,133.0,184.0,-51.0,-0.9573868969401165,2266.0,2110.0,156.0,3.0385664199454614
RS,431642.0,Rs-Sagrada Familia,3.0,3.0,0.0,0,123.0,128.0,-5.0,-2.450980392156863
RS,431643.0,Rs-Saldanha Marinho,9.0,13.0,-4.0,-1.465201465201465,130.0,115.0,15.0,5.769230769230769
RS,431645.0,Rs-Salto do Jacui,28.0,51.0,-23.0,-1.8473895582329318,753.0,638.0,115.0,10.231316725978647
RS,431647.0,Rs-Salvador das Missoes,71.0,19.0,52.0,7.749627421758569,343.0,250.0,93.0,15.70945945945946
RS,431650.0,Rs-Salvador do Sul,74.0,108.0,-34.0,-1.37875101378751,1285.0,1129.0,156.0,6.8181818181818175
RS,431660.0,Rs-Sananduva,70.0,78.0,-8.0,-0.2408187838651415,1235.0,1333.0,-98.0,-2.870533099004101
RS,431670.0,Rs-Santa Barbara do Sul,35.0,43.0,-8.0,-0.5235602094240838,590.0,603.0,-13.0,-0.8563899868247694
RS,431673.0,Rs-Santa Cecilia do Sul,1.0,5.0,-4.0,-3.3057851239669422,63.0,46.0,17.0,17.17171717171717
RS,431675.0,Rs-Santa Clara do Sul,18.0,72.0,-54.0,-2.406417112299465,1496.0,1430.0,66.0,3.101503759398496
RS,431680.0,Rs-Santa Cruz do Sul,1691.0,2101.0,-410.0,-0.9729473184622686,31749.0,31012.0,737.0,1.7874466433837797
RS,431690.0,Rs-Santa Maria,2195.0,2605.0,-410.0,-0.6727818709899739,30676.0,29792.0,884.0,1.4758915453452652
RS,431695.0,Rs-Santa Maria do Herval,23.0,54.0,-31.0,-1.8375815056312983,639.0,637.0,2.0,0.12143290831815423
RS,431697.0,Rs-Santa Margarida do Sul,9.0,20.0,-11.0,-2.4122807017543857,132.0,120.0,12.0,2.7586206896551726
RS,431700.0,Rs-Santana da Boa Vista,7.0,8.0,-1.0,-0.2680965147453083,178.0,166.0,12.0,3.32409972299169
RS,431710.0,Rs-Santana do Livramento,520.0,501.0,19.0,0.14813659753625447,6772.0,6171.0,601.0,4.876663420967218
RS,431720.0,Rs-Santa Rosa,1043.0,892.0,151.0,0.6399932186149021,12372.0,11958.0,414.0,1.759979594439485
RS,431725.0,Rs-Santa Tereza,1.0,5.0,-4.0,-3.9215686274509802,46.0,45.0,1.0,1.0101010101010102
RS,431730.0,Rs-Santa Vitoria do Palmar,213.0,176.0,37.0,0.7426736250501806,2832.0,2584.0,248.0,5.193717277486911
RS,431740.0,Rs-Santiago,179.0,303.0,-124.0,-1.6539949313058557,3071.0,3099.0,-28.0,-0.3783272530739089
RS,431750.0,Rs-Santo Angelo,547.0,641.0,-94.0,-0.5124011992368492,8810.0,8785.0,25.0,0.13696378677477675
RS,431755.0,Rs-Santo Antonio do Palma,11.0,8.0,3.0,1.083032490974729,106.0,105.0,1.0,0.3546099290780142
RS,431760.0,Rs-Santo Antonio da Patrulha,226.0,300.0,-74.0,-0.7582744133620248,5100.0,5132.0,-32.0,-0.33191577637174563
RS,431770.0,Rs-Santo Antonio das Missoes,27.0,36.0,-9.0,-0.8249312557286892,468.0,419.0,49.0,4.716073147256978
RS,431775.0,Rs-Santo Antonio do Planalto,3.0,17.0,-14.0,-3.7037037037037033,197.0,234.0,-37.0,-9.25
RS,431780.0,Rs-Santo Augusto,87.0,1050.0,-963.0,-23.75431672422299,3077.0,4268.0,-1191.0,-24.755768031594265
RS,431790.0,Rs-Santo Cristo,78.0,90.0,-12.0,-0.3628666465074085,1281.0,1205.0,76.0,2.342064714946071
RS,431795.0,Rs-Santo Expedito do Sul,1.0,1.0,0.0,0,40.0,38.0,2.0,2.2222222222222223
RS,431800.0,Rs-Sao Borja,334.0,406.0,-72.0,-0.6887315859957911,4831.0,5005.0,-174.0,-1.642439116481027
RS,431805.0,Rs-Sao Domingos do Sul,6.0,15.0,-9.0,-2.18978102189781,116.0,128.0,-12.0,-2.9484029484029484
RS,431810.0,Rs-Sao Francisco de Assis,37.0,37.0,0.0,0,481.0,413.0,68.0,4.871060171919771
RS,431820.0,Rs-Sao Francisco de Paula,241.0,265.0,-24.0,-0.4713275726630008,3997.0,3845.0,152.0,3.0725692338791184
RS,431830.0,Rs-Sao Gabriel,281.0,244.0,37.0,0.4141481978956794,3074.0,2949.0,125.0,1.40607424071991
